,film,revenue,release_date
1873,Birdman or (The Unexpected Virtue of Ignorance),103215094,2014-10-17
1874,Transcendence,103039258,2014-04-16
1875,Heaven Is for Real,101332962,2014-04-16
1876,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149,2014-10-08
1877,Tammy,100525432,2014-07-02
1878,George Strait: The Cowboy Rides Away,99000000,2014-08-29
1879,The Book of Life,97437106,2014-10-01
1880,The Hundred-Foot Journey,88880821,2014-08-06
1881,John Wick,88761661,2014-10-22
1882,Deliver Us from Evil,87937815,2014-07-01
1883,A Million Ways to Die in the West,86410000,2014-05-22
1884,Paranormal Activity: The Marked Ones,86362372,2014-01-01
1885,Step Up All In,86165646,2014-07-16
1886,The Judge,83719388,2014-10-08
1887,Stand by Me Doraemon,83061158,2014-08-08
1888,Muppets Most Wanted,80383290,2014-03-20
1889,Spanish Affair,78768613,2014-03-14
1890,If I Stay,78274843,2014-08-21
1891,"I, Frankenstein",76801179,2014-01-22
1892,My Old Classmate,76000000,2014-04-25
1893,Think Like a Man Too,70181428,2014-06-20
1894,Brick Mansions,68896829,2014-04-22
1895,Son of God,67800064,2014-02-28
1896,Jersey Boys,67347013,2014-06-05
1897,The Giver,66980456,2014-08-11
1898,Selma,66787908,2014-12-25
1899,The Legend of Hercules,61279452,2014-01-10
1900,Star Wars: The Force Awakens,2068223624,2015-12-15
1901,Jurassic World,1671713208,2015-06-06
1902,Furious 7,1515047671,2015-04-01
1903,Avengers: Age of Ultron,1405403694,2015-04-22
1904,Minions,1156730962,2015-06-17
1905,Spectre,880674609,2015-10-26
1906,Inside Out,857611174,2015-06-09
1907,Mission: Impossible - Rogue Nation,682330139,2015-07-23
1908,The Hunger Games: Mockingjay - Part 2,653428261,2015-11-18
1909,The Martian,630161890,2015-09-30
1910,Fifty Shades of Grey,571006128,2015-02-11
1911,Cinderella,543514353,2015-03-12
1912,The Revenant,532950503,2015-12-25
1913,Ant-Man,519311965,2015-07-14
1914,San Andreas,473990832,2015-05-27
1915,Hotel Transylvania 2,473226958,2015-09-21
1916,Terminator Genisys,440603537,2015-06-23
1917,Mad Max: Fury Road,378858340,2015-05-13
1918,Home,368871007,2015-03-18
1919,The Good Dinosaur,332207671,2015-11-14
1920,Maze Runner: The Scorch Trials,312296056,2015-09-09
1921,The SpongeBob Movie: Sponge Out of Water,311594032,2015-01-28
1922,Insurgent,295238201,2015-03-18
1923,Pitch Perfect 2,287506194,2015-05-07
1924,Mojin: The Lost Legend,278300000,2015-12-18
1925,The Peanuts Movie,246233113,2015-11-01
1926,Pixels,243637091,2015-07-16
1927,Daddy's Home,242786137,2015-12-25
1928,Spy,235666219,2015-05-06
1929,Alvin and the Chipmunks: The Road Chip,233755553,2015-12-17
1930,Ted 2,215863606,2015-06-25
1931,Tomorrowland,209154322,2015-05-19
1932,Everest,203427584,2015-09-10
1933,Straight Outta Compton,201634991,2015-08-11
1934,The Intern,194564672,2015-09-24
1935,Jupiter Ascending,183987723,2015-02-04
1936,Creed,173567581,2015-11-25
1937,Fantastic Four,167977596,2015-08-05
1938,Bridge of Spies,165478348,2015-10-15
1939,Goosebumps,158162788,2015-08-05
1940,Ip Man 3,156844753,2015-12-19
1941,The Hateful Eight,155760117,2015-12-25
1942,Focus,153962963,2015-02-25
1943,Monkey King: Hero Is Back,150000000,2015-07-10
1944,Bajrangi Bhaijaan,150000000,2015-07-17
1945,The Last Witch Hunter,146936910,2015-10-21
1946,Trainwreck,140795793,2015-07-17
1947,Point Break,133718711,2015-12-03
1948,The Big Short,133346506,2015-12-11
1949,Pan,128388320,2015-09-24
1950,Wolf Totem,123205624,2015-02-19
1951,Dragon Blade,121545703,2015-02-19
1952,Magic Mike XXL,117813057,2015-07-01
1953,Get Hard,111811453,2015-03-26
1954,The Man from U.N.C.L.E.,108145109,2015-08-13
1955,Paul Blart: Mall Cop 2,107597242,2015-04-16
1956,Shaun the Sheep Movie,106209378,2015-02-05
1957,Sisters,105011053,2015-12-18
1958,Chappie,104399548,2015-03-04
1959,Vacation,104384188,2015-07-28
1960,Insidious: Chapter 3,104303851,2015-06-04
1961,Joy,101134059,2015-12-24
1962,Chronicles of the Ghostly Tribe,99849421,2015-09-30
1963,Black Mass,98837872,2015-09-04
1964,Spotlight,98690254,2015-11-06
1965,The Visit,98450062,2015-09-10
1966,The Little Prince,97571250,2015-07-29
1967,Poltergeist,95437994,2015-05-20
1968,In the Heart of the Sea,93920758,2015-11-20
1969,Southpaw,91709827,2015-03-24
1970,Bāhubali: The Beginning,90747520,2015-07-10
1971,Veteran,87970000,2015-08-05
1972,The Second Best Exotic Marigold Hotel,85978266,2015-02-26
1973,Paper Towns,85512300,2015-06-18
1974,Sicario,84872444,2015-09-17
1975,Suck Me Shakespeer 2,83027924,2015-09-10
1976,Hitman: Agent 47,81967450,2015-08-20
1977,Wolf Warrior,80000000,2015-04-02
1978,The Wedding Ringer,79799880,2015-01-16
1979,Paranormal Activity: The Ghost Dimension,78096553,2015-10-21
1980,Jawani Phir Nahi Ani,77000000,2015-09-25
1981,Crimson Peak,74679822,2015-10-13
1982,The Transporter Refueled,72629670,2015-09-02
1983,Run All Night,71561644,2015-03-11
1984,War Room,67790117,2015-08-28
1985,Prem Ratan Dhan Payo,67000000,2015-11-11
1986,The Age of Adaline,65663276,2015-04-16
1987,Hot Tub Time Machine 2,64780213,2015-02-20
1988,The Danish Girl,64191523,2015-01-01
1989,The Lazarus Effect,64110728,2015-01-29
1990,The Longest Ride,63013281,2015-04-09
1991,Unfriended,62882090,2015-04-17
1992,Brooklyn,62076141,2015-10-20
1993,Inside Men,62000000,2015-11-19
1994,Krampus,61788393,2015-11-26
1995,Dragon Ball Z: Resurrection 'F',61768190,2015-04-18
1996,Woman in Gold,61619773,2015-03-20
1997,The Walk,61181942,2015-09-30
1998,Dilwale,61000000,2015-12-18
1999,The Perfect Guy,60273173,2015-09-11
2000,Captain America: Civil War,1153296293,2016-04-27
2001,Rogue One: A Star Wars Story,1056057273,2016-12-14
2002,Finding Dory,1028570889,2016-06-16
2003,Zootopia,1023784195,2016-02-11
2004,The Jungle Book,966550600,2016-04-07
2005,The Secret Life of Pets,875457937,2016-06-18
2006,Batman v Superman: Dawn of Justice,873634919,2016-03-23
2007,Fantastic Beasts and Where to Find Them,809342332,2016-11-16
2008,Deadpool,783100000,2016-02-09
2009,Suicide Squad,746846894,2016-08-03
2010,Moana,690860472,2016-11-23
2011,Doctor Strange,677700000,2016-10-25
2012,Sing,634151679,2016-11-23
2013,The Mermaid,553810228,2016-02-08
2014,X-Men: Apocalypse,543934787,2016-05-18
2015,Kung Fu Panda 3,521170825,2016-01-23
2016,La La Land,448900000,2016-11-29
2017,Warcraft,433677183,2016-05-25
2018,Jason Bourne,415484914,2016-07-27
2019,Ice Age: Collision Course,408579038,2016-06-23
2020,Independence Day: Resurgence,389681935,2016-06-22
2021,Your Name.,357986087,2016-08-26
2022,The Legend of Tarzan,356743061,2016-06-29
2023,The Angry Birds Movie,349779543,2016-05-11
2024,Trolls,346864462,2016-10-13
2025,Star Trek Beyond,343471816,2016-07-07
2026,Now You See Me 2,334901337,2016-06-02
2027,The Great Wall,331957105,2016-12-16
2028,The Conjuring 2,320392818,2016-05-13
2029,Resident Evil: The Final Chapter,312242626,2016-12-23
2030,Dangal,310000000,2016-12-21
2031,Passengers,303144152,2016-12-21
2032,Alice Through the Looking Glass,299457024,2016-05-25
2033,Miss Peregrine's Home for Peculiar Children,296482446,2016-09-27
2034,Split,278454358,2016-11-15
2035,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,2016-06-01
2036,Sully,240797623,2016-09-07
2037,Assassin's Creed,240697856,2016-12-21
2038,Hidden Figures,230698791,2016-12-10
2039,Ghostbusters,229147509,2016-07-14
2040,Inferno,220021259,2016-10-13
2041,Central Intelligence,216972543,2016-06-15
2042,Bridget Jones's Baby,211952420,2016-09-14
2043,Me Before You,207945075,2016-06-01
2044,London Has Fallen,205754447,2016-03-02
2045,Arrival,203388186,2016-11-10
2046,The BFG,195243411,2016-06-01
2047,The Monkey King 2,193677158,2016-01-22
2048,A Aa,189432924,2016-06-02
2049,Royal Treasure,186708860,2016-01-15
2050,Bad Moms,183936074,2016-07-28
2051,Storks,182379278,2016-09-22
2052,Allegiant,179246868,2016-03-09
2053,Hacksaw Ridge,175302354,2016-10-07
2054,The Girl on the Train,173185859,2016-10-05
2055,Operation Mekong,173000000,2016-09-30
2056,The Huntsman: Winter's War,164989338,2016-04-06
2057,The Magnificent Seven,162360636,2016-09-14
2058,Jack Reacher: Never Go Back,162146076,2016-10-19
2059,Don't Breathe,159047649,2016-06-08
2060,The Accountant,155160045,2016-10-13
2061,Gods of Egypt,150680864,2016-02-25
2062,Lights Out,148868835,2016-07-21
2063,Pete's Dragon,143695338,2016-08-10
2064,Sausage Party,140705322,2016-07-11
2065,Lion,140312928,2016-01-20
2066,Mechanic: Resurrection,125729635,2016-08-25
2067,Ride Along 2,124827316,2016-01-14
2068,Deepwater Horizon,121790373,2016-09-29
2069,Allied,119520023,2016-11-17
2070,The Shallows,119100758,2016-06-24
2071,The Purge: Election Year,118587880,2016-06-29
2072,Why Him?,118102725,2016-12-22
2073,Office Christmas Party,114501299,2016-11-25
2074,How to Be Single,112343513,2016-01-21
2075,The 5th Wave,109906372,2016-01-14
2076,Neighbors 2: Sorority Rising,108758521,2016-05-04
2077,10 Cloverfield Lane,108286421,2016-03-10
2078,Cold War II,103197501,2016-09-08
2079,Railroad Tigers,102205175,2016-12-23
2080,Sultan,102000000,2016-07-06
2081,Dirty Grandpa,94073028,2016-01-20
2082,Ben-Hur,94061311,2016-08-17
2083,Money Monster,93282604,2016-05-12
2084,My Big Fat Greek Wedding 2,90632641,2016-03-23
2085,Line Walker,88658655,2016-08-11
2086,Collateral Beauty,88528280,2016-12-06
2087,Train to Busan,87547518,2016-07-20
2088,War Dogs,86234523,2016-08-17
2089,Nerve,85241496,2016-06-27
2090,Big Fish & Begonia,84552250,2016-07-08
2091,Ouija: Origin of Evil,81705746,2016-10-20
2092,Underworld: Blood Wars,81093313,2016-11-24
2093,Manchester by the Sea,78988148,2016-11-18
2094,The Boss,78636257,2016-04-07
2095,Shin Godzilla,77947607,2016-07-29
2096,Mike and Dave Need Wedding Dates,77068246,2016-07-07
2097,Kubo and the Two Strings,76249438,2016-08-18
2098,Where Am I Going?,75173000,2016-01-01
2099,Boo! A Madea Halloween,74827344,2016-10-21
2100,Beauty and the Beast,1263521126,2017-03-16
2101,The Fate of the Furious,1238764765,2017-04-12
2102,Despicable Me 3,1031552585,2017-06-15
2103,Jumanji: Welcome to the Jungle,962102237,2017-12-09
2104,Spider-Man: Homecoming,880166924,2017-07-05
2105,Wolf Warrior 2,870322670,2017-07-27
2106,Guardians of the Galaxy Vol. 2,863756051,2017-04-19
2107,Thor: Ragnarok,853977126,2017-10-25
2108,Wonder Woman,821847012,2017-05-30
2109,Coco,800526015,2017-10-27
2110,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,2017-05-23
2111,It,701796444,2017-09-06
2112,Justice League,657924295,2017-11-15
2113,Logan,619021436,2017-02-28
2114,Transformers: The Last Knight,605425157,2017-06-16
2115,Kong: Skull Island,566652812,2017-03-08
2116,Dunkirk,527000000,2017-07-19
2117,The Boss Baby,498814908,2017-03-23
2118,War for the Planet of the Apes,488533726,2017-07-11
2119,Chasing the Dragon,445000000,2017-09-28
2120,The Greatest Showman,432844677,2017-12-20
2121,Kingsman: The Golden Circle,410902662,2017-09-20
2122,The Mummy,409231607,2017-06-06
2123,Cars 3,383925276,2017-06-15
2124,Fifty Shades Darker,378827494,2017-02-08
2125,Murder on the Orient Express,351839303,2017-11-03
2126,xXx: Return of Xander Cage,346147658,2017-01-13
2127,Never Say Die,334530869,2017-09-30
2128,The Lego Batman Movie,311950384,2017-02-08
2129,Annabelle: Creation,306515884,2017-08-03
2130,Wonder,305937718,2017-11-13
2131,Ferdinand,295038508,2017-12-09
2132,Bāhubali 2: The Conclusion,275947313,2017-04-27
2133,Blade Runner 2049,259239658,2017-10-04
2134,Get Out,255407969,2017-02-24
2135,Kung Fu Yoga,254212245,2017-01-27
2136,Alien: Covenant,232380243,2017-05-09
2137,Paddington 2,227300000,2017-11-09
2138,Baby Driver,226945087,2017-06-28
2139,Valerian and the City of a Thousand Planets,225874228,2017-07-20
2140,Youth,224160000,2017-12-15
2141,Geostorm,221600160,2017-10-13
2142,The Emoji Movie,216909830,2017-07-23
2143,A Dog's Purpose,205035819,2017-01-19
2144,One Cut of the Dead,200000000,2017-11-04
2145,Smurfs: The Lost Village,197183546,2017-03-23
2146,The Shape of Water,194989655,2017-12-01
2147,Pitch Perfect 3,184724494,2017-12-20
2148,Daddy's Home 2,180613180,2017-11-09
2149,The Post,179769467,2017-01-19
2150,Baywatch,177856751,2017-05-12
2151,The Hitman's Bodyguard,176586701,2017-08-16
2152,John Wick: Chapter 2,171539887,2017-02-08
2153,Ghost in the Shell,169801921,2017-03-29
2154,Italy Italy,162593526,2017-10-04
2155,"Three Billboards Outside Ebbing, Missouri",160192031,2017-12-01
2156,Darkest Hour,150847207,2017-11-22
2157,King Arthur: Legend of the Sword,148675066,2017-05-10
2158,The Foreigner,145374099,2017-09-28
2159,Power Rangers,142337240,2017-03-23
2160,Girls Trip,140376621,2017-07-21
2161,Secret Superstar,137416709,2017-10-19
2162,American Made,133511855,2017-08-18
2163,A Bad Moms Christmas,130560428,2017-08-04
2164,Along with the Gods: The Two Worlds,125983972,2017-12-14
2165,Captain Underpants: The First Epic Movie,125289450,2017-06-01
2166,The Lego Ninjago Movie,123081555,2017-09-21
2167,Happy Death Day,122637878,2017-10-12
2168,The Dark Tower,113231078,2017-08-03
2169,Jigsaw,102952888,2017-10-26
2170,Life,100541806,2017-03-22
2171,Atomic Blonde,100014025,2017-07-26
2172,The Shack,92924405,2017-03-03
2173,Heartthrob,90000000,2017-10-10
2174,Tiger Zinda Hai,87320000,2017-12-18
2175,Going in Style,84618541,2017-04-06
2176,Rings,83080890,2017-02-01
2177,A Taxi Driver,81927980,2017-08-02
2178,City of Rock,80000000,2017-09-30
2179,Lady Bird,78966486,2017-09-08
2180,Boonie Bears: Entangled Worlds,77174241,2017-01-28
2181,American Assassin,67200000,2017-09-14
2182,Victoria & Abdul,65421267,2017-09-14
2183,The Nut Job 2: Nutty by Nature,65146020,2017-08-11
2184,Detective Conan: The Crimson Love Letter,63147576,2017-04-15
2185,The Mountain Between Us,62832209,2017-10-05
2186,"Everything, Everything",61621140,2017-05-18
2187,Snatched,60845711,2017-05-03
2188,My Little Pony: The Movie,60330833,2017-10-05
2189,Molly's Game,59284015,2017-01-01
2190,All the Money in the World,56996304,2017-12-21
2191,The Big Sick,56303596,2017-03-30
2192,Confidential Assignment,56100000,2017-01-18
2193,Downsizing,55003890,2017-12-22
2194,"I, Tonya",53939297,2017-12-08
2195,The Outlaws,52946454,2017-10-03
2196,Hindi Medium,52390000,2017-05-19
2197,Three Seconds,51169464,2017-12-28
2198,1987: When the Day Comes,49380115,2017-12-27
2199,Logan Lucky,48453605,2017-08-17
2200,Avengers: Infinity War,2046239637,2018-04-25
2201,Black Panther,1346739107,2018-02-13
2202,Jurassic World: Fallen Kingdom,1303459585,2018-06-06
2203,Incredibles 2,1242805359,2018-06-14
2204,Aquaman,1148461807,2018-07-06
2205,Bohemian Rhapsody,894027543,2018-10-24
2206,Venom,855013954,2018-09-28
2207,Mission: Impossible - Fallout,791017452,2018-07-13
2208,Deadpool 2,786365638,2018-05-10
2209,Fantastic Beasts: The Crimes of Grindelwald,653355901,2018-11-14
2210,Ant-Man and the Wasp,622674139,2018-07-04
2211,Ready Player One,582890172,2018-03-28
2212,Operation Red Sea,579220560,2018-02-16
2213,The Meg,530243742,2018-08-09
2214,Ralph Breaks the Internet,529221154,2018-11-20
2215,Hotel Transylvania 3: Summer Vacation,528600000,2018-06-28
2216,The Grinch,508575295,2018-11-08
2217,Bumblebee,467989645,2018-12-15
2218,A Star Is Born,433888866,2018-10-03
2219,Rampage,426245950,2018-04-12
2220,Mamma Mia! Here We Go Again,395044706,2018-07-09
2221,Solo: A Star Wars Story,392952373,2018-05-15
2222,Spider-Man: Into the Spider-Verse,375540831,2018-12-06
2223,Fifty Shades Freed,368307760,2018-01-17
2224,The Nun,365550119,2018-09-05
2225,Peter Rabbit,351266433,2018-02-07
2226,Mary Poppins Returns,348807090,2018-12-13
2227,Taylor Swift: Reputation Stadium Tour,345000000,2018-12-31
2228,A Quiet Place,340677200,2018-04-03
2229,Green Book,319700000,2018-11-16
2230,Ocean's Eight,297718711,2018-06-07
2231,Skyscraper,292351275,2018-07-11
2232,Pacific Rim: Uprising,290061297,2018-03-21
2233,Maze Runner: The Death Cure,288175335,2018-01-10
2234,Tomb Raider,274650803,2018-03-05
2235,Halloween,253688035,2018-10-18
2236,Crazy Rich Asians,238539198,2018-08-15
2237,Creed II,214215889,2018-11-21
2238,Us and Them,209221331,2018-04-28
2239,Bel Canto,176746000,2018-09-13
2240,The Mule,174804407,2018-12-14
2241,Insidious: The Last Key,167184112,2018-01-03
2242,The Predator,160542134,2018-09-05
2243,Johnny English Strikes Again,158256993,2018-09-13
2244,Red Sparrow,151572634,2018-02-28
2245,The First Purge,137056262,2018-07-04
2246,A Wrinkle in Time,132675864,2018-03-08
2247,The House with a Clock in Its Walls,131457147,2018-09-15
2248,Dragon Ball Super: Broly,125002821,2018-12-14
2249,The Commuter,119942387,2018-01-11
2250,Game Night,117501013,2018-02-22
2251,2.0,114629169,2018-11-29
2252,Along with the Gods: The Last 49 Days,112790210,2018-08-01
2253,First Man,105702570,2018-10-11
2254,The Equalizer 2,102084362,2018-07-19
2255,Detective Conan: Zero the Enforcer,101860359,2018-04-13
2256,Taxiwala,100000000,2018-06-01
2257,Khaltoor,100000000,2018-02-22
2258,Christopher Robin,99138899,2018-08-02
2259,A Simple Favor,97644617,2018-08-29
2260,Truth or Dare,95330493,2018-04-12
2261,I Feel Pretty,94539426,2018-04-19
2262,Blockers,94017294,2018-03-14
2263,BlacKkKlansman,93400823,2018-08-09
2264,Goosebumps 2: Haunted Halloween,93320380,2018-10-11
2265,Kamen Rider Build the Movie: Be The One,92108679,2018-08-04
2266,Shadow,91708374,2018-09-30
2267,Overboard,91244913,2018-04-13
2268,Sherlock Gnomes,90497778,2018-03-15
2269,Boonie Bears: The Big Shrink,88726207,2018-02-16
2270,Robin Hood,86493046,2018-11-21
2271,I Can Only Imagine,86026201,2018-02-14
2272,Detective Dee: The Four Heavenly Kings,84168923,2018-07-27
2273,Mortal Engines,83672673,2018-11-27
2274,The Favourite,82124805,2018-11-23
2275,Padmaavat,81673897,2018-01-25
2276,Den of Thieves,80509622,2018-01-18
2277,Hereditary,80239658,2018-06-07
2278,Book Club,78720293,2018-05-18
2279,Vice,76073488,2018-12-25
2280,Sicario: Day of the Soldado,75836683,2018-06-27
2281,Tag,75100000,2018-05-30
2282,Widows,73866088,2018-11-06
2283,Second Act,72282227,2018-11-22
2284,12 Strong,67450815,2018-01-16
2285,Sanju,67414985,2018-06-29
2286,"Love, Simon",66316289,2018-02-16
2287,Mile 22,66308758,2018-08-16
2288,Searching,66265218,2018-08-24
2289,Capernaum,64978931,2018-09-20
2290,Isle of Dogs,64241499,2018-03-23
2291,Life of the Party,61700416,2018-05-10
2292,The Nutcracker and the Four Realms,59522646,2018-10-26
2293,The 15:17 to Paris,57076286,2018-02-02
2294,Early Man,53431158,2018-01-26
2295,Breaking In,49078000,2018-05-05
2296,Peppermint,48818723,2018-09-06
2297,Asterix: The Secret of the Magic Potion,45631901,2018-05-12
2298,Winchester,44019588,2018-02-02
2299,Annihilation,43070915,2018-02-22
2300,Avengers: Endgame,2797800564,2019-04-24
2301,The Lion King,1667635327,2019-07-12
2302,Frozen II,1450026933,2019-11-20
2303,Spider-Man: Far From Home,1131927996,2019-06-28
2304,Captain Marvel,1128276090,2019-03-06
2305,Joker,1074251311,2019-10-02
2306,Star Wars: The Rise of Skywalker,1074144248,2019-12-18
2307,Toy Story 4,1073394593,2019-06-19
2308,Aladdin,1047612394,2019-05-22
2309,Jumanji: The Next Level,800059707,2019-12-04
2310,Fast & Furious Presents: Hobbs & Shaw,760098996,2019-08-01
2311,Ne Zha,686067000,2019-07-26
2312,How to Train Your Dragon: The Hidden World,517526875,2019-01-03
2313,Alha Sahma,500000000,2019-04-12
2314,Maleficent: Mistress of Evil,491570967,2019-10-16
2315,It Chapter Two,473093228,2019-09-04
2316,Pokémon Detective Pikachu,433005346,2019-05-03
2317,Alita: Battle Angel,404852543,2019-01-31
2318,Godzilla: King of the Monsters,386600138,2019-05-29
2319,1917,374733942,2019-12-25
2320,Once Upon a Time… in Hollywood,374251247,2019-07-24
2321,Shazam!,365971656,2019-03-29
2322,John Wick: Chapter 3 - Parabellum,326709727,2019-05-15
2323,Knives Out,309232797,2019-11-27
2324,Terminator: Dark Fate,261119292,2019-10-23
2325,Parasite,257591776,2019-05-30
2326,Us,255105930,2019-03-14
2327,Men in Black: International,252608480,2019-06-12
2328,Dark Phoenix,252442974,2019-06-05
2329,Glass,246941965,2019-01-16
2330,Annabelle Comes Home,231252591,2019-06-26
2331,Better Days,225879065,2019-10-25
2332,Ford v Ferrari,225508210,2019-11-13
2333,Little Women,216601214,2019-12-25
2334,Dumbo,215832199,2019-03-27
2335,The Addams Family,203044905,2019-10-10
2336,Downton Abbey,192094429,2019-09-12
2337,The Lego Movie 2: The Second Part,190514361,2019-01-26
2338,Weathering with You,186965409,2019-06-19
2339,Abominable,179057149,2019-09-19
2340,Gemini Man,173469516,2019-10-02
2341,Spies in Disguise,171616764,2019-12-04
2342,Rocketman,167323950,2019-05-22
2343,Hustlers,157600000,2019-09-12
2344,Escape Room,155712077,2019-01-03
2345,The Secret Life of Pets 2,155152550,2019-05-24
2346,The Angry Birds Movie 2,147792047,2019-08-02
2347,Angel Has Fallen,146661977,2019-08-21
2348,Ad Astra,132807427,2019-09-17
2349,Midway,125641396,2019-11-06
2350,Extreme Job,124652206,2019-01-23
2351,Zombieland: Double Tap,122801777,2019-10-09
2352,The Curse of La Llorona,122033739,2019-04-17
2353,Last Christmas,121550750,2019-11-07
2354,Dora and the Lost City of Gold,119682635,2019-08-08
2355,Wonder Park,119559110,2019-03-13
2356,Detective Conan: The Fist of Blue Sapphire,115570314,2019-04-12
2357,The Gentlemen,114996853,2019-12-03
2358,Pet Sematary,112399944,2019-04-04
2359,The Upside,111353135,2019-01-10
2360,Good Boys,111037232,2019-08-14
2361,Scary Stories to Tell in the Dark,95438172,2019-08-08
2362,Five Feet Apart,91500000,2019-03-14
2363,Rambo: Last Blood,91490353,2019-09-19
2364,Crawl,89203432,2019-07-11
2365,Yesterday,88092097,2019-06-27
2366,Jojo Rabbit,82468705,2019-10-18
2367,Cold Pursuit,76419755,2019-02-07
2368,Serial (Bad) Weddings 2,74769845,2019-01-30
2369,Cats,73515024,2019-12-19
2370,Charlie's Angels,73279888,2019-11-14
2371,Doctor Sleep,72281712,2019-10-30
2372,What Men Want,69766483,2019-02-08
2373,After,69497587,2019-04-11
2374,EXIT,68325551,2019-07-31
2375,A Beautiful Day in the Neighborhood,67760877,2019-09-07
2376,War,66293455,2019-10-02
2377,White Snake,61631776,2019-01-11
2378,Bombshell,61404394,2019-12-13
2379,Ashfall,61321941,2019-12-19
2380,Ready or Not,57615777,2019-08-21
2381,Kabir Singh,55478164,2019-06-20
2382,Saaho,55000000,2019-08-29
2383,Ma,51749995,2019-05-29
2384,Just Mercy,50401502,2019-12-25
2385,Uncut Gems,50020902,2019-08-30
2386,21 Bridges,49939757,2019-10-24
2387,The Legend of Hei,48045728,2019-08-27
2388,Countdown,48021766,2019-10-24
2389,Midsommar,47980982,2019-07-03
2390,Queen & Slim,47803176,2019-11-27
2391,A Madea Family Funeral,46115383,2019-03-01
2392,Child's Play,44902237,2019-06-19
2393,Hellboy,44664690,2019-04-10
2394,Playing with Fire,44400000,2019-11-08
2395,A Shaun the Sheep Movie: Farmageddon,42880428,2019-09-26
2396,My Mom is a Character 3,39273021,2019-12-26
2397,Fighting with My Family,39055536,2019-02-14
2398,Judy,38981322,2019-09-27
2399,Pain and Glory,37359689,2019-03-22
2400,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,503063688,2020-10-16
2401,The Eight Hundred,460919368,2020-08-14
2402,"Metallica: WorldWired Tour - Live in Manchester, England - June 18, 2019",426900000,2020-06-08
2403,Bad Boys for Life,426505244,2020-01-15
2404,Tenet,363129000,2020-08-22
2405,Sonic the Hedgehog,306766470,2020-02-12
2406,Dolittle,245692007,2020-01-01
2407,Jiang Ziya: The Legend of Deification,240656068,2020-10-01
2408,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),201858461,2020-02-05
2409,The Croods: A New Age,168285000,2020-11-25
2410,Wonder Woman 1984,165160005,2020-12-16
2411,Onward,141592359,2020-02-29
2412,Soul,136384442,2020-12-25
2413,The Invisible Man,130234661,2020-02-26
2414,The Call of the Wild,107604626,2020-02-19
2415,The Yin-Yang Master: Dream of Eternity,69000000,2020-12-24
2416,Mulan,66800000,2020-09-04
2417,Tolo Tolo,52186426,2020-01-01
2418,Greenland,47800000,2020-07-29
2419,Fantasy Island,47078545,2020-02-12
2420,Trolls World Tour,47000000,2020-03-11
2421,The New Mutants,45534613,2020-08-26
2422,The Grudge,42800000,2020-01-01
2423,After We Collided,42000000,2020-09-02
2424,Underwater,40882928,2020-01-08
2425,Peninsula,39657073,2020-07-15
2426,Unhinged,39238300,2020-07-16
2427,The Confidence Man JP: Princess,35762324,2020-07-23
2428,Deliver Us from Evil,34662454,2020-08-05
2429,Bloodshot,33542457,2020-03-05
2430,Invasion,32104054,2020-01-01
2431,Honest Thief,29404235,2020-09-03
2432,Ala Vaikunthapurramuloo,28859072,2020-01-12
2433,Vanguard,27900000,2020-09-30
2434,Like a Boss,26925979,2020-01-09
2435,Monster Hunter,25814306,2020-12-03
2436,Emma.,25155355,2020-02-13
2437,Digimon Adventure: Last Evolution Kizuna,24200000,2020-02-21
2438,Gretel & Hansel,22059211,2020-01-30
2439,Violet Evergarden: The Movie,20339624,2020-09-18
2440,Brahms: The Boy II,20311536,2020-02-20
2441,Fate/stay night: Heaven's Feel III. Spring Song,20150000,2020-08-15
2442,The Turning,18472775,2020-01-23
2443,Bye Bye Morons,16955173,2020-10-21
2444,The War with Grandpa,16262351,2020-08-27
2445,Freaky,15104310,2020-11-12
2446,Father There Is Only One 2,14871307,2020-07-29
2447,The Way Back,14590514,2020-03-05
2448,Children of the Corn,14568989,2020-10-17
2449,Promising Young Woman,13868965,2020-12-13
2450,#Alive,13416285,2020-06-24
2451,Fire,12916151,2020-12-24
2452,Street Dancer 3D,12589965,2020-01-24
2453,Steel Rain 2: Summit,12329960,2020-07-29
2454,Howling Village,12175665,2020-02-07
2455,Uriyadi,11327287,2020-01-17
2456,30 Days Max,11208529,2020-10-14
2457,Malang,11136444,2020-02-06
2458,UFC 246: McGregor vs. Cowboy,11087629,2020-01-18
2459,Crayon Shin-Chan: Crash! Rakuga Kingdom and Almost Four Heroes,11000000,2020-09-11
2460,Bigfoot Family,10804610,2020-07-23
2461,Impractical Jokers: The Movie,10700000,2020-02-21
2462,Nightlife,10349294,2020-02-13
2463,Me contro Te: Il film - La vendetta del Signor S,9500000,2020-01-17
2464,365 Days,9458590,2020-02-07
2465,Scoob!,9430580,2020-07-11
2466,Okay! Madam,9341543,2020-08-12
2467,10 Days Without Mum,9305412,2020-02-19
2468,Joker Joe,8859185,2020-08-05
2469,The Hunt,8621288,2020-03-11
2470,Come Play,8119285,2020-10-28
2471,Let Him Go,7997460,2020-11-05
